phonemes,prediction,ground_truth,time_ms,tokens_in,tokens_out
AH P  |  IH N  |  N UW  |  IH NG G L AH N D  |  W EH R  |  AY M  |  F R AH M  | ,Up in New England where I'm from.,Up in New England where I'm from.,684.07,103,8
W AH N  |  TH IH NG  |  AO R  |  DH AH  |  AH DH ER  | ,One thing or the other.,One thing or the other.,673.97,88,6
HH IY Z  |  W AH N  |  AH V  |  DH AH  |  B IH G  |  P R AH P OW N AH S  |  AH V  |  DH AE T  | ,He is one of the big proponents of that.,He's one of the big proponents of that.,885.79,111,10
AY  |  HH AE V  |  N AA T  |  G AO D  |  B AE K  |  L EY T L IY  | ,I have not called back lately.,I have not gone back lately.,1648.35,97,7
T UW  |  B IY  |  IH T S  |  AH  |  T R EH ZH ER  | ,To me it's a treasure.,"To me, it's a treasure.",7807.18,90,6
HH IY  |  IH Z  |  AO L S OW  |  AH  |  M EY M B ER  |  AH V  |  DH AH  |  Y AO R  |  AW AH Z  |  AH G EH N AH M  | ,He is also a member of the New York Bar Association.,He is also a member of the Royal Irish Academy.,15671.11,121,12
AY  |  G EH S  |  AY  |  L AY K  |  T UW  |  T EY K  |  K EH R  |  AH V  |  IH T  | ,I guess I like to take care of it.,I guess I like to take care of it.,774.08,107,10
HH IY  |  D AH Z  |  DH AH  |  Y AA R D  | ,He does the yard.,He does the yard.,1602.15,84,5
Y UW  |  JH AH S T  |  R IH L IY  |  K AE N T  |  T EH L  |  W AH T S  |  G OW IH NG  |  T UW  |  HH AE P AH N,You just really can't tell what's going to happen.,You just really can't tell what's going to happen.,754.35,118,10
AH N D  |  HH OW  |  IH Z  |  IH N  |  CH AA R JH  |  AH V  |  M EY K IH NG  |  DH AE T  |  D IH S IH ZH AH N  | ,And who is in charge of making that decision?,And who is in charge of making that decision?,846.95,119,10
N AA T  |  F AO R  |  DH AH  |  JH AA B  |  AY  |  HH AE V  |  N AW  | ,Not for the job I have now.,Not for the job I have now.,8406.84,99,8
IH T S  |  R IH L IY  |  N AA T  |  T UW  |  D EH F AH K AH L,It's really not too difficult.,It's really not too difficult.,714.72,92,6
K L IH ZH AH N Z  |  SH UH D  |  N EH V ER  |  HH AE P AH N  | ,Collisions should never happen.,Collisions should never happen.,904.62,92,6
AY M  |  T R AY IH NG  |  T UW  |  TH IH NG  | ,I'm trying to think.,I'm trying to think.,664.49,84,5
EH M P L OY R IY  |  K AH N T R UH R IY  | ,Employee contrary.,Employee controller.,673.56,84,3
B AE K AH N  |  AH N D  |  AO L  |  DH AE T  |  G UH D  |  S T AH F  | ,Bacon and all that good stuff.,Bacon and all that good stuff.,745.85,98,8
IH F  |  Y UW  |  L UH K  |  B AE K  | ,If you look back.,If you look back.,7693.5,82,5
AH N D  |  IH T  |  AO L S OW  |  HH AW S  |  W EH N  |  DH EY  |  W ER  |  R EH D IH NG  | ,And it also helps when they are reading.,And it also helps when they were winning.,783.82,108,9
SH IY  |  K EY M  |  L AE S T  |  CH UW N  |  AH N D  |  W AA CH T  |  AH  |  G EY V  |  IH N  |  DH AH  |  S EY  |  D AH M  | ,She came last June and watched a game in the stadium.,She came last June and watched a game in the sky dome.,769.87,129,12
F AO R  |  M IY  |  AY  |  HH AE D  |  N OW  |  CH OY S  |  B AH T  |  T UW  |  M UW V  | ,"For me, I had no choice but to move.","For me, I had no choice but to move.",931.37,111,11
DH EH N  |  IH T S  |  T W AY S  |  AE Z  |  AA N  | ,Then it's twice as long.,Then it's twice as hard.,707.07,89,6
AY  |  K AE N T  |  R IH L IY  |  K AH M P L EY N  | ,I can't really complain.,I can't really complain.,685.51,89,5
W EH N  |  AY  |  D UW  |  R EH S AH P IY N Z  |  AY  |  JH AH S T  |  TH R OW  |  S AH F  |  IH N  | ,When I do recipes I just throw stuff in.,When I do recipes I just throw stuff in.,904.62,116,10
DH EY  |  R IY JH AH L IY  |  R IH L UW S T  |  HH IH M  | ,They originally released him.,They recently released him.,674.35,92,5
W AH N  |  Y IH R  |  T AH B L IH K  |  S ER V AH S  |  F AO R  |  EH V R IY B AA D IY  | ,One year public service for everybody.,One year public service for everybody.,751.42,108,7
IH T S  |  AE N  |  EH D IY  |  S EH V AH N  |  D IH G R IY  |  D EY  | ,It's an eighty seven degree day.,It's an eighty seven degree day.,747.35,100,7
AY  |  D OW N T  |  N OW  |  IH Z  |  DH EY  |  D UW  |  IH T  |  AO L  |  OW V ER  | ,I don't know if they do it all over.,I don't know if they do it all over.,752.92,107,10
EH M P L OY IH NG  |  B EH N AH F AH T S  | ,Employing benefits.,Employee Benefits.,899.46,82,4
HH AW  |  L AO NG  |  AA R  |  W IY  |  S AH P OW Z D  |  T UW  |  T AO K  |  F AO R  | ,How long are we supposed to talk for?,How long are we supposed to talk for?,747.58,108,9
Y UW  |  S T AA R T  |  T UW  |  T EY K  |  P L EH ZH ER  |  IH N  |  IH T  | ,You start to take pleasure in it.,You start to take pleasure in it.,674.96,103,8
DH EY  |  HH AE D  |  AH S  |  F IY L  |  AW T  |  AH  |  L AO NG  |  K R AH S CH AH N IY  | ,They had us fill out a long questionnaire.,They had us fill out a long questionnaire.,788.18,110,9
W IY V  |  HH AE D  |  AW ER  |  W EY  |  AH V  |  L AY F  | ,We've had our way of life.,We've had our way of life.,709.77,94,7
HH IH Z  |  S AY D  |  AH V  |  DH AH  |  F AE M AH L IY  | ,His side of the family.,His side of the family.,686.67,92,6
G UH D  |  T UW  |  HH IY R  |  F R AH M  |  Y UW  | ,Good to hear from you.,Good to hear from you.,748.48,90,6
AY  |  D OW N T  |  N OW  |  W EH R  |  DH AH  |  HH AE N S ER  |  IH Z  | ,I don't know where the answer is.,I don't know where the answer is.,766.55,100,8
W AY AH D  |  Y UW  |  G EH T  |  DH AH  |  K AA R  | ,Why did you get the car?,Where'd you get the car?,755.67,89,7
AH N D  |  Y UW  |  P IH T  |  ER AW N D  |  IH T  | ,And you put around it.,And you paint around it.,612.46,89,6
K R AY M  |  IH Z  |  T UW  |  M AH CH  | ,Crime is too much.,Crime is too much.,1091.95,83,5
HH AW S  |  R AH M ER IY Z  | ,How's Rumeries?,House robberies.,856.8,76,6
DH AH  |  G R EY D  |  K AE N Y AH N  | ,The Grand Canyon.,The Grand Canyon.,646.56,81,4
DH AH  |  IH K S P IH R IY AH N S  | ,The experience.,The experience.,673.32,79,3
HH IY  |  S EH D  |  IH Z  |  B IH N  |  S EY IH NG  |  W AH N  |  M AO R  | ,He said he's been seeing one more.,He said he's been saying one more.,878.13,102,8
AY  |  K AE N T  |  R IH L IY  |  TH IH NG K  |  AH V  |  EH N IY TH IH NG  |  EH L S  |  AO F AE N D  | ,"I can't really think of anything else, offhand.",I can't really think of anything else offhand.,791.24,115,11
AY  |  G R UW  |  AH P  |  W AO T ER  |  S T IY IH NG  | ,I grew up water skiing.,I grew up water skiing.,685.55,91,6
DH EY  |  W EY T AH D  |  AH  |  K AH P AH L  |  Y IH R Z  | ,They waited a couple years.,They waited a couple years.,700.86,92,6
AY  |  HH AE V  |  AH  |  K OW L D  |  W AH N  | ,I have a cold one.,I have a gold one.,741.74,87,6
DH EH R Z  |  N AA T  |  AH  |  HH OW L  |  L AA T  | ,There's not a whole lot.,There's not a whole lot.,755.41,89,6
DH EH R  |  W AA Z  |  N OW  |  W UH D  |  AA N  |  K AE M F W AH L T IY Z  | ,There was no word on casualties.,There was no word on casualties.,691.72,102,7
IH T  |  K AY N D  |  AH V  |  W IH L D  |  D AW N  | ,It kind of will die down.,It kind of wound down.,821.03,90,7
B AH T  |  M AY  |  P AA S  |  W IY T AH T  |  P EY  |  F AO R  |  IH T  | ,But my boss won't pay for it.,But my boss wouldn't pay for it.,831.26,102,8
M AY  |  M AH DH ER  |  W AA Z  |  K AH M P L EY N IH NG  |  L AE S T  |  Y IH R  |  AH B AW T  |  DH AE T  | ,My mother was complaining last year about that.,My mother was complaining last year about that.,667.0,116,9
V EH R IY  |  S K EH R IY  |  T UW  |  S IY  |  W AH T  |  DH EY  |  F AW N D  |  AW T  | ,Very scary to see what they found out.,Very scary to see what they found out.,7549.5,111,9
N AA T  |  T UW  |  M AH CH  |  S OY  |  S AH S  | ,Not too much soy sauce.,Not too much soy sauce.,687.69,89,6
DH EH N  |  AH V  |  Y AO R  |  B IH Z N AH S  | ,Then of your business.,None of your business.,719.97,86,5
HH IY  |  P UH T  |  AH P  |  AO L  |  AH V  |  IH Z  |  AE CH K  |  T R IY Z  | ,He put a bowl of his own French fries.,He put up all of his ash trays.,845.37,106,10
HH IY  |  D IH D AH N T  |  JH AH S T  |  S EY  | ,He didn't just say.,He didn't just say.,668.57,88,5
IH F  |  DH EH R  |  W AA Z  |  AH  |  K R EH D AH B AH L  |  P AH N IH SH M AH N T  | ,If there was a credible punishment.,If there was a credible punishment.,715.1,104,7
AY V  |  M IH N  |  P R IH T IY  |  S IH S EH L F AH L  |  W IH DH  |  DH AE T  | ,I've been pretty successful with that.,I've been pretty successful with that.,721.86,103,7
IH N  |  DH AH  |  P R IY V IY AH S  |  V ER ZH AH N  | ,In the previous version.,In the previous version.,657.95,91,5
W AA Z  |  IH T  |  TH ER D  |  AH V  |  D IH S EH M P ER L  | ,Was it third of December?,Was it third of December?,705.53,93,6
EH N V IH ZH AH N  |  AH V  |  P AA M AH L  | ,Envision a poem.,Invasion of Burma.,683.71,84,5
AY  |  G EH S  |  W IY  |  D OW N T  |  R IH L IY  |  Y UW Z  |  DH AE T  |  M EH N IY  |  T EH N  |  K AE T S  | ,I guess we don't really use that many ten cats.,I guess we don't really use that many tin cans.,836.72,124,11
W IY R  |  AH  |  S EH T  |  D AW N  |  T AH G EH DH ER  |  F AE M AH L IY  | ,"We're a set down together, family.",We're a sit down together family.,774.82,102,8
AY M  |  ER IH JH AH N AH L IY  |  F R AH M  |  M EY N  | ,I'm originally from Maine.,I'm originally from Maine.,740.02,91,5
HH IY  |  HH AE D  |  AH  |  HH AA T  |  P AE D  | ,He had a hot pad.,He had a hot pad.,796.82,88,6
S AH M T AY M Z  |  DH EH R  |  N AA T  |  V EH R IY  |  OW P AH N  | ,Sometimes they're not very open.,Sometimes they're not very open.,653.23,97,6
R AY T  |  N AW  |  AY M  |  G EH T IH NG  |  AH B AW T  |  S IH S T IY  |  B AH K S  |  AH  |  M AH N TH  | ,Right now I'm getting about sixty bucks a month.,Right now I'm getting about sixty bucks a month.,860.39,118,10
HH IY  |  W AA N T  |  D UW  |  DH AE T  |  Y EH T  | ,He won't do that yet.,He won't do that yet.,776.06,90,6
AY  |  M IY N  |  IH T S  |  D AY IH NG  |  N AW  | ,I mean it's dying now.,I mean it's dying now.,658.2,89,6
IH T  |  W AA Z  |  R EY T AH N T  |  M EH N IY  |  Y IH R Z  |  AH G OW  | ,It was written many years ago.,It was written many years ago.,680.94,101,7
T UW  |  Y UW  |  G OW  |  B AY  |  DH AH  |  AE D Z  |  W EH N  |  Y UW  |  L UH K  |  AE T  |  DH EH M  | ,Do you go by the ads when you look at them?,Do you go by the ads when you look at them?,6971.45,119,12
D UW  |  Y UW  |  G EH T  |  K EY B AH L  | ,Do you get cable?,Do you get cable?,733.44,84,5
AH N D  |  DH IY Z  |  G EH T S  |  B AE K  |  T UW  |  K AE B IH T AH L  |  B AA T AH S M AH N T  | ,And these gets back to capital punishment.,And this gets back to capital punishment.,910.23,113,8
HH IY R  |  AA R  |  S AH M  |  HH IY  |  P OY N T S  |  F R AH M  |  DH AH  |  P R IY F IH NG  | ,Here are some key points from the briefing.,Here are some key points from the briefing.,747.99,115,9
N EH T IY  |  S EH V AH N  |  S IH N S  |  AH  |  W IY K  | ,Ninety-seven cents a week.,Ninety seven cents a week.,825.63,94,8
W IY  |  S T AA R T IH D  |  T EY K IH NG  |  HH ER  | ,We started taking her.,We started taking her.,709.36,89,5
S OW  |  TH IH NG K  |  Y UW  |  F AO R  |  N AA T  |  Y UW Z IH NG  |  DH AH  |  EH K P L OY T  | ,So thank you for not using the exploit.,So thank you for not using the exploit.,788.64,112,9
DH EH R  |  AH K HH AA N AH M AH N T S  |  AH  |  L IH T AH L  |  B IH T  |  W IY K  | ,Their economies are a little bit weak.,Their economy's a little bit weak.,1169.95,105,8
EH M P L OY IY Z  |  W IH L  |  N AA T  |  G EH T  |  EH N IY  |  S EH V ER AH JH S  |  P EY  | ,Employees will not get any severance pay.,Employees will not get any severance pay.,6630.85,113,9
AY  |  R IH L IY  |  F IY L  |  B AE D  |  F AO R  |  DH AH  |  P IY P AH L  |  AY  |  S IY  |  DH EH R  | ,I really feel bad for the people I see there.,I really feel bad for the people I see there.,761.74,121,11
IY V IH N  |  IH N  |  M AY  |  G EY S  | ,Even in my case.,Even in my case.,805.69,84,5
AH K AO R D IH NG  |  T UW  |  DH AH  |  JH IH JH IH SH AH L  |  S IH S T AH M  | ,According to the judicial system.,According to the judicial system.,841.09,101,6
AH F AO R D  |  DH AH  |  P EY M AH T S  |  AA N  |  AH  |  Y UW Z D  |  K AA R  | ,Afford the payments on a used car.,Afford the payments on a used car.,763.93,104,9
K AH P AH L  |  AH V  |  HH AH N D R AH D  |  K IH D Z  |  IH N  |  DH AH  |  B AE D  | ,Couple of hundred kids in the band.,Couple of hundred kids in the band.,822.31,106,9
AY  |  F AW L D  |  DH AE T  |  R IH L IY  |  HH EH L P S  | ,I found that really helps.,I found that really helps.,680.57,93,6
DH AE T  |  S AO R T  |  AH V  |  S T AH F  | ,That sort of stuff.,That sort of stuff.,869.87,85,5
AY  |  N OW  |  W IY V  |  HH AE D  |  DH IH S  |  W AH N  |  L EY T IY  |  DH AE T  |  W AA Z  |  AH T EH N T  | ,I know we've had this one lady that was a tenant.,I know we've had this one lady that was attacked.,816.42,122,12
W IY  |  W EH N T  |  T UW  |  K AH L ER AA D AH OW  |  S T R IY NG Z  | ,We went to Colorado Springs.,We went to Colorado Springs.,845.74,99,6
N AW  |  IH T  |  D AH Z AH N T  |  B AA DH ER  |  M IY  |  AE T  |  AO L  | ,"No, it doesn't bother me at all.",Now it doesn't bother me at all.,903.08,102,9
D OW N T  |  HH AE V  |  IH N AH F  |  M AH N IY  | ,Don't have enough money.,Don't have enough money.,691.14,88,5
B AH T  |  AY  |  HH AE V AH N T  |  T OW L D  |  M AY  |  HH AH Z B AH N D  | ,But I haven't told my husband.,But I haven't told my husband.,864.3,101,7
AY  |  HH AE V  |  S AH M  |  N EY B ER Z  |  AH G R AO S  |  DH AH  |  F IY L D  | ,I have some neighbors across the field.,I have some neighbors across the field.,844.69,105,8
HH AE V  |  S AH M  |  P AA R T  |  AH V  |  DH AH  |  L AO  | ,Have some part of the law.,Have some part of the law.,709.68,94,7
W AH T S  |  DH AH  |  CH IH L D R AH N  |  W AO R  |  G R UW N  | ,Once the children were grown.,Once the children were grown.,697.64,95,6
S P EH SH AH L  |  T UW  |  DH AH  |  D IH T R OY T  |  F R IY  |  B R EH S  | ,Special to the Detroit Free Press.,Special to the Detroit Free Press.,1125.59,103,7
AY M  |  D UW IH NG  |  AO L  |  R AY T  | ,I'm doing all right.,I'm doing all right.,908.79,83,5
AY  |  G EH S  |  IH T S  |  K L OW S  |  IH N AH F  | ,I guess it's close enough.,I guess it's close enough.,683.63,90,6
AH  |  G UH D  |  AH P EH R AH N S  |  T UW  |  D UW  |  AH  |  G UH D  |  JH AA B  |  DH EH R  |  Y UW  |  W ER K  | ,"A good appearance to do a good job, then you work.",A good appearance to do a good job where you work.,863.6,124,13
P IY P AH L  |  P UH T  |  DH EH M  |  IH N  | ,People put them in.,People put them in.,893.49,86,5
EH V ER IY  |  T AY M  |  AY  |  D UW  |  S AH M TH IH NG  | ,Every time I do something.,Every time I do something.,790.49,92,6
IH Z  |  DH EH R  |  AH  |  B EY S AH S  |  F AO R  |  IH T  | ,Is there a basis for it?,Is there a basis for it?,707.56,94,7
AY  |  TH IH NG K  |  B IH K AO Z  |  IH T  |  K AA Z  |  L EH T S  | ,I think because it costs less.,I think because it costs less.,746.45,97,7
IH T S  |  AH  |  EH D IY  |  EY T  | ,It's a heavy weight.,It's a eighty eight.,701.67,82,5
TH IH NG Z  |  AA R  |  F R IY  |  IH N AH F  | ,Things are free enough.,Things are free enough.,7916.28,86,5
AE T  |  DH AH  |  T AY M  |  Y UW  |  HH AY AH D  |  AA N  |  W IH DH  |  DH IH S  |  K AH M P AH N IY  | ,At the time you hired on with this company.,At the time you hired on with this company.,825.86,116,10
F AO R  |  DH AH  |  TH IH NG Z  |  DH AE T  |  W IY  |  W AA N T  | ,For the things that we want.,For the things that we want.,725.18,97,7
T R IH M IH NG  |  S IY Z AH N  |  IH Z  |  AA P AH N IY  |  B OY Z  | ,Crimming season is open boys.,Streaming season is opening boys!,776.12,99,7
IH T S  |  AO L R EH D IY  |  D AH N  |  F AO R  |  Y UW  | ,It's already done for you.,It's already done for you.,723.2,93,6
HH IY  |  HH AE D  |  B IH N  |  IH N  |  DH AE T  |  P AH L IH SH AH N  |  F AO R  |  Y IH R Z  | ,He had been in that position for years.,He had been in that position for years.,717.57,112,9
AW T S AY D  |  DH AH  |  B IH L D IH NG  |  IH T S  |  N AA T  |  B AE D  | ,Outside the building it's not bad.,Outside the building it's not bad.,773.49,100,7
DH AH  |  F IH F T ER M Z  |  F AE M AH L IY Z S  |  AE N  |  TH IH NG Z  | ,The victims' families and friends.,The victims' families and things.,817.32,99,7
AY  |  D OW N T  |  W AA N T  |  T UW  |  D UW  |  EH N IY TH IH NG  | ,I don't want to do anything.,I don't want to do anything.,733.78,98,7
Y UW  |  N OW  |  AY  |  D OW N T  |  N OW  | ,You know I don't know.,You know I don't know.,962.26,86,6
IH T S  |  D IH F AH K AH L T  |  T UW  |  R IH L IY  |  S EY  |  W AY  | ,It's difficult to really say why.,It's difficult to really say why.,842.91,100,7
DH EH R  |  W AA Z  |  AH  |  V OY S  |  IH N  |  HH ER  |  HH AE D  | ,There was a voice in her head.,There was a voice in her head.,1123.08,99,8
L AO M IH K ER Z  |  B AE K S T  |  AH  |  M EH ZH ER  |  L AE S T  |  Y IH R  | ,Lawmakers passed a major law last year.,Lawmakers passed a measure last year.,756.8,103,9
AY D  |  B IY  |  Y UH R IY AH Z S  | ,I'd be curious.,I'd be curious.,648.52,82,4
IH T S  |  L AY K  |  AH  |  M EY JH ER  |  P R AH D EH K SH AH,It's like a major production.,It's like a major production.,705.54,92,6
W IY  |  EH N D AH N D  |  AH P  |  W AA CH IH NG  |  IH T  |  F AO R  |  AH  |  K AH P AH L  |  AH V  |  AW ER,We ended up watching it for a couple of hours.,We ended up watching it for a couple of hours.,745.59,118,11
Y UW  |  L AY V  |  IH N  |  K AA L,You live in Cal.,You live in Garland.,676.56,79,5
EH N IY TH IH NG  |  AA N  |  DH AE T,Anything on that?,Anything on that.,738.86,78,4
HH IY Z  |  N EH V ER  |  G AO N  |  AH W EY  | ,He's never gone away.,He's never gone away.,687.22,86,5
W AH T  |  W IH L  |  B IY  |  AH  |  L AH G ZH ER IY  |  IH N  |  DH AH  |  F IH CH ER,What will be a luxury in the future?,What will be a luxury in the future?,954.53,107,9
F IH SH AH N  |  B OW K S  |  DH AE T  |  AY  |  R IH L IY  |  L AY K  | ,Fashion books that I really like.,Fiction books that I really like.,844.59,99,7
AY  |  W AA Z  |  R IH L IY  |  W ER K IH NG  |  W IH DH  |  DH AH  |  M IH D AH L  |  K L,I was really working with the middle class.,I was really working with the middle class.,871.17,107,9
DH EH R  |  W UH D  |  B IY  |  N OW  |  W IY  |  T UW  |  D UW  |  IH T  | ,There would be no way to do it.,There would be no way to do it.,866.9,104,9
W AH T  |  IH Z  |  IH T  |  K AO L D  | ,What is it called?,What is it called?,674.76,83,5
DH EY  |  D UW  |  T EY K  |  AH P  |  AH  |  L AA T  |  AH V  |  Y AO R  |  T AY M  | ,They do take up a lot of your time.,They do take up a lot of your time.,860.56,108,10
AY M  |  S T IH L  |  G OW IH NG  | ,I'm still going.,I'm still going.,1107.36,79,4
W AH T  |  W UH N  |  Y UW  |  F AY N D  |  IH F  |  Y UW  |  JH AH S T  |  K EH P T  |  AA N  |  G OW IH NG  | ,What would you find if you just kept on going?,What would you find if you just kept on going?,940.14,121,11
HH EH L P S  |  DH EH M  |  AH N D ER S T AE N D  |  DH AH  |  W ER L,Helps them understand the world.,Helps them understand the world.,955.19,94,7
AY  |  D UW  |  S T AA D IY  |  W AH T S  |  G OW IH NG  |  AA N  |  IH N  |  DH AH  |  AH K AA N AH M IY  | ,I do study what's going on in the economy.,I do study what's going on in the economy.,882.5,118,10
AY  |  L AY K  |  DH AE T  |  DH EY  |  R AH N  |  T EH T S,I like that they run tests.,I like that they run tense.,714.18,91,7
JH AH S T  |  L AY K  |  HH AW  |  Y UW  |  S EH D  |  M AY  |  F AA DH ER  |  W AY,Just like how you said my father would.,Just like how you said my father was.,832.63,104,9
G AY D AH N D  |  B AY  |  V ER S AH Z  | ,Guided by verses.,Guided by voices.,750.47,82,5
W EH N  |  W AA Z  |  DH AH  |  L AE S T  |  T AY M  |  W IY  |  M EH ZH ER N D  |  Y UW  | ,When was the last time we measured you?,When was the last time we measured you?,701.82,111,9
AY  |  W AO D AH N T  |  HH IH M  |  T UW  |  W EH N  |  B EH S T  |  AE K T ER  |  AA N  |  T AA P  |  AH V  |  IH T,I wouldn't want him to win Best Actor on top of it.,I wanted him to win best actor on top of it.,927.21,122,13
AY  |  HH ER D  |  DH IH S  |  AA N  |  AH  |  F R IY N CH AH N  |  P R OW G R AE M  | ,I heard this on a French news program.,I heard this on a Christian program.,1584.2,106,9
Y UW  |  L UH K  |  D AW N  |  AE T  |  Y AO R  |  OW M,You look down at your own.,You look down at your arm.,813.8,90,7
DH AH  |  P ER M IH T IY  |  T R AY EY T L,The committee triage.,The Bermuda Triangle.,650.94,81,5
HH IY Z  |  DH AE N  |  M EH S  |  OW L D  | ,He's done mess old.,He's nine months old.,799.16,85,5
IH T  |  IH Z  |  L AY K  |  AH  |  K AH N T R IY,It is like a country.,It is like a country.,984.43,87,6
AH  |  M EY L  |  P R AH F EH SH AH,A male professor.,A male profession.,785.14,77,4
DH AH  |  L IH T AH S  |  K L IY P  |  IH N S AY D,The lettuce clip inside.,The islanders sleep inside.,970.97,86,5
DH EY  |  AA R  |  DH AH  |  D IH T R OY T  |  T EH L AH,They are the Detroit Tigers.,They are the Detroit delegates.,646.98,89,6
DH EY  |  HH AE V  |  K UW P ER Z,They have coupons.,They have coupons.,782.55,76,4
AY  |  G EH T  |  B IH DH AH  |  K AE N,I get better cans.,I can't believe they can.,867.31,80,5
Y UW  |  JH AH S T  |  HH AE V  |  T UW  |  K IY P  |  B AY IH NG  |  DH EH M,You just have to keep buying them.,You just have to keep buying them.,779.76,101,8
IH N  |  AH  |  N UW  |  HH AW S  |  EH V R IY TH IH NG  |  IH Z  |  W AH T,In a new house everything is white.,In a new house everything is white.,1051.74,99,8
IY Z AH S T  |  W EY  |  AW T  |  M EY B IY,Easiest way out maybe.,Easiest way out maybe.,786.26,84,7
DH AE T  |  W IH L  |  HH AE V  |  S AH M  |  AW ER  |  P R AA B L AH M,That will have some power problem.,That will help solve our problems.,763.59,96,7
W AH T  |  K AY N D  |  AH V  |  TH IH NG Z  |  D UW  |  Y UW  |  TH IH NG K  |  K AE N  |  B IY  |  D AH N  | ,What kind of things do you think can be done?,What kind of things do you think can be done.,770.91,120,11
AY  |  T R AY  |  T UW  |  M EY K  |  SH UH R  | ,I try to make sure.,I try to make sure.,747.1,87,6
DH EH R  |  AA R  |  AO L S OW  |  DH IH S  |  V EH R IY AH S  |  D IH S K L OW ZH,There are also those various disclosures.,There are also these various disclosures.,796.36,102,7
EH N JH OY  |  DH AH  |  AA L AH D IY Z,Enjoy the holidays.,Enjoy the Holidays.,1047.69,81,4
D R AH NG K  |  T R AY V AH ER Z  |  K IH L  |  P IY P AH L  | ,Drunk drivers kill people.,Drunk drivers kill people.,613.45,93,6
AA N  |  P R AH M EH SH AH N  |  AO R  |  B IH F AO L  |  AH N D  |  K IH D  |  S AH M W AH N  |  EH,On permission or before and give someone a.,On probation or parole and killed someone else.,741.53,111,9
DH IH S  |  B R IH NG Z  |  M IY  |  T UW  |  DH AH  |  N EH K S T  |  P OY N T  | ,This brings me to the next point.,This brings me to the next point.,897.64,106,8
AY  |  D OW N T  |  TH IH NG K  |  DH EH R  |  IH N  |  AH  |  K AH N S P IH R AH S,I don't think they're in a conspiracy.,I don't think they're in a conspiracy.,1124.13,102,8
AH  |  M IH L AH N  |  D AA L ER S  |  AH N Y AH  | ,A million dollars a year.,A million dollars a year.,844.63,87,6
D R AH S  |  T R AE P S  |  B IH JH IH T  |  IH Z  |  JH AH S T  |  AH  |  P R AH P EH DH ER  |  AE T  |  DH IH S  |  P OY N T,"Dress, traps, budget is just a propeller at this point.",Trump's budget is just a proposal at this point.,973.98,127,14
W IY V  |  HH AE D  |  W AH N  |  AE Z  |  L AO NG  |  AE Z  |  AY  |  K AE N  |  R IH M EH M B ER,We've had one as long as I can remember.,We've had one as long as I can remember.,681.66,112,10
HH AW EH V ER  |  DH EH R  |  IH Z  |  W AH N  |  K IY  |  P OY N T  |  T UW  |  K IY P  |  IH N  |  M AY N D  | ,"However, there is one key point to keep in mind.","However, there is one key point to keep in mind.",1015.96,123,12
IH T S  |  W ER K IH NG  |  AH P  |  T UW  |  AH  |  Y IH R  |  N AW  | ,It's working up to a year now.,It's working up to a year now.,918.11,99,8
AH  |  HH AW S  |  F UH L  |  AH V  |  S T N OW  | ,A house full of snow.,A house full of snow.,647.45,88,6
AO L  |  DH OW Z  |  Y UH R AH P IY AH N T  |  K AH N T R IY Z  | ,All those European countries.,All those European countries.,621.34,95,5
