sample_id,phonemes,prediction,ground_truth,time_ms,tokens_in,tokens_out
t15.2023.08.13_b9_t10,SH IY  |  K EY M  |  L AE S T  |  CH UW N  |  AH N D  |  W AA CH T  |  AH  |  G EY V  |  IH N  |  DH AH  |  S EY  |  D AH M  | ,She came last June and watched a game in the stadium.,She came last June and watched a game in the sky dome.,1315.53,128,15
t15.2023.08.13_b9_t11,F AO R  |  M IY  |  AY  |  HH AE D  |  N OW  |  CH OY S  |  B AH T  |  T UW  |  M UW V  | ,For me I had no choice but to move,"For me, I had no choice but to move.",1554.89,110,12
t15.2023.08.13_b9_t12,DH EH N  |  IH T S  |  T W AY S  |  AE Z  |  AA N  | ,Then it’s twice as on.,Then it's twice as hard.,993.34,88,10
t15.2023.08.13_b9_t13,AY  |  K AE N T  |  R IH L IY  |  K AH M P L EY N  | ,I can't really complain,I can't really complain.,886.73,88,7
t15.2023.08.13_b9_t14,W EH N  |  AY  |  D UW  |  R EH S AH P IY N Z  |  AY  |  JH AH S T  |  TH R OW  |  S AH F  |  IH N  | ,"When I do recipes, I just throw stuff in.",When I do recipes I just throw stuff in.,1086.68,115,14
t15.2023.08.18_b6_t0,DH EY  |  R IY JH AH L IY  |  R IH L UW S T  |  HH IH M  | ,They regularly released him,They recently released him.,892.56,91,7
t15.2023.08.18_b6_t1,W AH N  |  Y IH R  |  T AH B L IH K  |  S ER V AH S  |  F AO R  |  EH V R IY B AA D IY  | ,One year to public service for everybody,One year public service for everybody.,1024.19,107,10
t15.2023.08.18_b6_t2,IH T S  |  AE N  |  EH D IY  |  S EH V AH N  |  D IH G R IY  |  D EY  | ,It's an 87 degree day.,It's an eighty seven degree day.,1188.59,99,10
t15.2023.08.18_b6_t3,AY  |  D OW N T  |  N OW  |  IH Z  |  DH EY  |  D UW  |  IH T  |  AO L  |  OW V ER  | ,I don't know is they do it all over,I don't know if they do it all over.,1134.78,106,12
t15.2023.08.18_b6_t4,EH M P L OY IH NG  |  B EH N AH F AH T S  | ,Employing benefits,Employee Benefits.,770.95,81,6
t15.2023.08.18_b6_t5,HH AW  |  L AO NG  |  AA R  |  W IY  |  S AH P OW Z D  |  T UW  |  T AO K  |  F AO R  | ,How long are we supposed to talk for?,How long are we supposed to talk for?,946.64,107,12
t15.2023.08.18_b6_t6,Y UW  |  S T AA R T  |  T UW  |  T EY K  |  P L EH ZH ER  |  IH N  |  IH T  | ,You start to take pleasure in it,You start to take pleasure in it.,937.28,102,10
t15.2023.08.18_b6_t7,DH EY  |  HH AE D  |  AH S  |  F IY L  |  AW T  |  AH  |  L AO NG  |  K R AH S CH AH N IY  | ,They had us feel out a long questionary,They had us fill out a long questionnaire.,818.81,109,12
t15.2023.08.18_b6_t8,W IY V  |  HH AE D  |  AW ER  |  W EY  |  AH V  |  L AY F  | ,We've had our way of life,We've had our way of life.,1156.06,93,9
t15.2023.08.18_b6_t9,HH IH Z  |  S AY D  |  AH V  |  DH AH  |  F AE M AH L IY  | ,His side of the family,His side of the family.,853.6,91,8
t15.2023.08.18_b6_t10,G UH D  |  T UW  |  HH IY R  |  F R AH M  |  Y UW  | ,Good to hear from you,Good to hear from you.,850.0,89,8
t15.2023.08.18_b6_t11,AY  |  D OW N T  |  N OW  |  W EH R  |  DH AH  |  HH AE N S ER  |  IH Z  | ,I don't know where the answer is,I don't know where the answer is.,737.47,99,10
t15.2023.08.18_b6_t12,W AY AH D  |  Y UW  |  G EH T  |  DH AH  |  K AA R  | ,Why’d you get the car,Where'd you get the car?,1607.15,88,9
t15.2023.08.18_b6_t13,AH N D  |  Y UW  |  P IH T  |  ER AW N D  |  IH T  | ,And you pit around it,And you paint around it.,1001.36,88,8
t15.2023.08.18_b6_t14,K R AY M  |  IH Z  |  T UW  |  M AH CH  | ,Crime is too much,Crime is too much.,857.18,82,7
t15.2023.08.18_b6_t15,HH AW S  |  R AH M ER IY Z  | ,How’s rumour is,House robberies.,903.59,75,8
t15.2023.08.18_b6_t16,DH AH  |  G R EY D  |  K AE N Y AH N  | ,The Great Canyon,The Grand Canyon.,948.5,80,6
t15.2023.08.18_b6_t17,DH AH  |  IH K S P IH R IY AH N S  | ,The experience,The experience.,815.43,78,5
t15.2023.08.18_b6_t18,HH IY  |  S EH D  |  IH Z  |  B IH N  |  S EY IH NG  |  W AH N  |  M AO R  | ,He said he's been saying one more.,He said he's been saying one more.,934.7,101,11
t15.2023.08.18_b6_t19,AY  |  K AE N T  |  R IH L IY  |  TH IH NG K  |  AH V  |  EH N IY TH IH NG  |  EH L S  |  AO F AE N D  | ,I can't really think of anything else offhand.,I can't really think of anything else offhand.,971.27,114,13
t15.2023.08.18_b6_t20,AY  |  K UH D AH N T  |  M IY M AH K  |  TH IH NG K  |  AH V  |  W AH T  |  Y UW  |  K AO L  |  DH EH M  | ,I couldn't make think of what you call them.,I couldn't even think of what you call them.,1051.35,116,13
t15.2023.08.18_b6_t21,AY  |  G R UW  |  AH P  |  W AO T ER  |  S T IY IH NG  | ,I grew up water skiing,I grew up water skiing.,704.03,90,8
t15.2023.08.18_b6_t22,DH EY  |  W EY T AH D  |  AH  |  K AH P AH L  |  Y IH R Z  | ,They waited a couple years,They waited a couple years.,743.87,91,8
t15.2023.08.18_b6_t23,AY  |  HH AE V  |  AH  |  K OW L D  |  W AH N  | ,I have a cold one,I have a gold one.,977.64,86,8
t15.2023.08.18_b7_t0,DH EH R Z  |  N AA T  |  AH  |  HH OW L  |  L AA T  | ,There's not a whole lot,There's not a whole lot.,1046.89,88,8
t15.2023.08.18_b7_t1,DH EH R  |  W AA Z  |  N OW  |  W UH D  |  AA N  |  K AE M F W AH L T IY Z  | ,There was no wood on camp facilities.,There was no word on casualties.,854.48,101,11
t15.2023.08.18_b7_t2,IH T  |  K AY N D  |  AH V  |  W IH L D  |  D AW N  | ,It kind of will down,It kind of wound down.,1989.77,89,8
t15.2023.08.18_b7_t3,B AH T  |  M AY  |  P AA S  |  W IY T AH T  |  P EY  |  F AO R  |  IH T  | ,But my boss we that pay for it,But my boss wouldn't pay for it.,1113.43,101,11
t15.2023.08.18_b7_t4,M AY  |  M AH DH ER  |  W AA Z  |  K AH M P L EY N IH NG  |  L AE S T  |  Y IH R  |  AH B AW T  |  DH AE T  | ,My mother was complaining last year about that.,My mother was complaining last year about that.,1002.42,115,12
t15.2023.08.18_b7_t5,V EH R IY  |  S K EH R IY  |  T UW  |  S IY  |  W AH T  |  DH EY  |  F AW N D  |  AW T  | ,Very scary to see what they found out,Very scary to see what they found out.,1005.77,110,11
t15.2023.08.18_b7_t6,N AA T  |  T UW  |  M AH CH  |  S OY  |  S AH S  | ,Not too much soy sauce,Not too much soy sauce.,928.71,88,8
t15.2023.08.18_b7_t7,DH EH N  |  AH V  |  Y AO R  |  B IH Z N AH S  | ,Then of your business,None of your business.,968.02,85,7
t15.2023.08.18_b7_t8,HH IY  |  P UH T  |  AH P  |  AO L  |  AH V  |  IH Z  |  AE CH K  |  T R IY Z  | ,He put up all of his hack trees,He put up all of his ash trays.,935.36,105,11
t15.2023.08.18_b7_t9,HH IY  |  D IH D AH N T  |  JH AH S T  |  S EY  | ,He didn't just say,He didn't just say.,1259.96,87,7
t15.2023.08.18_b7_t10,IH F  |  DH EH R  |  W AA Z  |  AH  |  K R EH D AH B AH L  |  P AH N IH SH M AH N T  | ,If there was a credible punishment,If there was a credible punishment.,853.54,103,9
t15.2023.08.18_b7_t11,AY V  |  M IH N  |  P R IH T IY  |  S IH S EH L F AH L  |  W IH DH  |  DH AE T  | ,I've been pretty successful with that,I've been pretty successful with that.,882.79,102,9
t15.2023.08.18_b7_t12,IH N  |  DH AH  |  P R IY V IY AH S  |  V ER ZH AH N  | ,In the previous version,In the previous version.,753.71,90,7
t15.2023.08.18_b7_t13,W AA Z  |  IH T  |  TH ER D  |  AH V  |  D IH S EH M P ER L  | ,Was it third of December?,Was it third of December?,979.89,92,9
t15.2023.08.18_b7_t14,EH N V IH ZH AH N  |  AH V  |  P AA M AH L  | ,Envision of pommel,Invasion of Burma.,976.5,83,8
t15.2023.08.18_b7_t15,AY  |  G EH S  |  W IY  |  D OW N T  |  R IH L IY  |  Y UW Z  |  DH AE T  |  M EH N IY  |  T EH N  |  K AE T S  | ,I guess we don't really use that many ten cats.,I guess we don't really use that many tin cans.,960.8,123,14
t15.2023.08.18_b7_t16,W IY R  |  AH  |  S EH T  |  D AW N  |  T AH G EH DH ER  |  F AE M AH L IY  | ,We’re a set down together family,We're a sit down together family.,842.4,101,10
t15.2023.08.18_b7_t17,AY M  |  ER IH JH AH N AH L IY  |  F R AH M  |  M EY N  | ,I'm originally from Maine,I'm originally from Maine.,779.98,90,7
t15.2023.08.18_b7_t18,HH IY  |  HH AE D  |  AH  |  HH AA T  |  P AE D  | ,He had a hot pad,He had a hot pad.,807.26,87,8
t15.2023.08.18_b7_t19,S AH M T AY M Z  |  DH EH R  |  N AA T  |  V EH R IY  |  OW P AH N  | ,Sometimes they're not very open.,Sometimes they're not very open.,931.1,96,9
t15.2023.08.18_b7_t20,R AY T  |  N AW  |  AY M  |  G EH T IH NG  |  AH B AW T  |  S IH S T IY  |  B AH K S  |  AH  |  M AH N TH  | ,Right now I'm getting about sixty bucks a month.,Right now I'm getting about sixty bucks a month.,1001.34,117,13
t15.2023.08.18_b7_t21,DH AE T  |  K AY N D  |  AH V  |  G AE S  |  M AE L AH S  | ,That kind of gas malice,That kind of gas mileage.,836.86,91,9
t15.2023.08.18_b7_t22,HH IY  |  W AA N T  |  D UW  |  DH AE T  |  Y EH T  | ,He want do that yet,He won't do that yet.,942.84,89,8
t15.2023.08.18_b7_t23,AY  |  M IY N  |  IH T S  |  D AY IH NG  |  N AW  | ,I mean it's dying now,I mean it's dying now.,851.37,88,8
t15.2023.08.18_b7_t24,IH T  |  W AA Z  |  R EY T AH N T  |  M EH N IY  |  Y IH R Z  |  AH G OW  | ,It was written many years ago,It was written many years ago.,892.27,100,9
t15.2023.08.20_b7_t0,T UW  |  Y UW  |  G OW  |  B AY  |  DH AH  |  AE D Z  |  W EH N  |  Y UW  |  L UH K  |  AE T  |  DH EH M  | ,To you go by the ads when you look at them,Do you go by the ads when you look at them?,1151.34,118,14
t15.2023.08.20_b7_t1,D UW  |  Y UW  |  G EH T  |  K EY B AH L  | ,Do you get cable,Do you get cable?,875.63,83,7
t15.2023.08.20_b7_t2,AH N D  |  DH IY Z  |  G EH T S  |  B AE K  |  T UW  |  K AE B IH T AH L  |  B AA T AH S M AH N T  | ,And these gets back to capital bottasment,And this gets back to capital punishment.,776.5,112,12
t15.2023.08.20_b7_t3,HH IY R  |  AA R  |  S AH M  |  HH IY  |  P OY N T S  |  F R AH M  |  DH AH  |  P R IY F IH NG  | ,Here are some key points from the briefing.,Here are some key points from the briefing.,970.05,114,12
t15.2023.08.20_b7_t4,N EH T IY  |  S EH V AH N  |  S IH N S  |  AH  |  W IY K  | ,Ninety-seven since a week,Ninety seven cents a week.,894.52,93,10
t15.2023.08.20_b7_t5,AY  |  TH IH NG K  |  DH AH  |  R OW D Z  |  N AW  |  AA R  |  L EH S  |  D IH V AY D  | ,I think the roads now are less divide,I think the roles now are less defined.,826.37,106,11
t15.2023.08.20_b7_t6,W IY  |  S T AA R T IH D  |  T EY K IH NG  |  HH ER  | ,We started taking her,We started taking her.,741.07,88,7
t15.2023.08.20_b7_t7,S OW  |  TH IH NG K  |  Y UW  |  F AO R  |  N AA T  |  Y UW Z IH NG  |  DH AH  |  EH K P L OY T  | ,So think you for not using the exploit,So thank you for not using the exploit.,994.22,111,11
t15.2023.08.20_b7_t8,DH EH R  |  AH K HH AA N AH M AH N T S  |  AH  |  L IH T AH L  |  B IH T  |  W IY K  | ,They're a common and it's a little bit weak,Their economy's a little bit weak.,925.06,104,12
t15.2023.08.20_b7_t9,EH M P L OY IY Z  |  W IH L  |  N AA T  |  G EH T  |  EH N IY  |  S EH V ER AH JH S  |  P EY  | ,Employees will not get any severance pay.,Employees will not get any severance pay.,859.15,112,12
t15.2023.08.20_b7_t10,AY  |  R IH L IY  |  F IY L  |  B AE D  |  F AO R  |  DH AH  |  P IY P AH L  |  AY  |  S IY  |  DH EH R  | ,I really feel bad for the people I see there,I really feel bad for the people I see there.,969.45,120,13
t15.2023.08.20_b7_t11,IY V IH N  |  IH N  |  M AY  |  G EY S  | ,Even in my gaze,Even in my case.,823.24,83,7
t15.2023.08.20_b7_t12,AH K AO R D IH NG  |  T UW  |  DH AH  |  JH IH JH IH SH AH L  |  S IH S T AH M  | ,According to the judicial system,According to the judicial system.,764.76,100,8
t15.2023.08.20_b7_t13,AH F AO R D  |  DH AH  |  P EY M AH T S  |  AA N  |  AH  |  Y UW Z D  |  K AA R  | ,Afford the payments on a used car,Afford the payments on a used car.,904.83,103,11
t15.2023.08.20_b7_t14,K AH P AH L  |  AH V  |  HH AH N D R AH D  |  K IH D Z  |  IH N  |  DH AH  |  B AE D  | ,Couple of hundred kids in the bad,Couple of hundred kids in the band.,918.71,105,11
t15.2023.08.20_b7_t15,AY  |  F AW L D  |  DH AE T  |  R IH L IY  |  HH EH L P S  | ,I found that really helps,I found that really helps.,845.67,92,8
t15.2023.08.20_b7_t16,DH AE T  |  S AO R T  |  AH V  |  S T AH F  | ,That sort of stuff,That sort of stuff.,689.44,84,7
t15.2023.08.20_b7_t17,AY  |  N OW  |  W IY V  |  HH AE D  |  DH IH S  |  W AH N  |  L EY T IY  |  DH AE T  |  W AA Z  |  AH T EH N T  | ,I know we’ve had this one lady that was a tenant,I know we've had this one lady that was attacked.,1025.43,121,15
t15.2023.08.20_b7_t18,W IY  |  W EH N T  |  T UW  |  K AH L ER AA D AH OW  |  S T R IY NG Z  | ,We went to Colorado Springs,We went to Colorado Springs.,802.21,98,8
t15.2023.08.20_b7_t19,N AW  |  IH T  |  D AH Z AH N T  |  B AA DH ER  |  M IY  |  AE T  |  AO L  | ,Now it doesn’t bother me at all.,Now it doesn't bother me at all.,973.09,101,12
t15.2023.08.20_b7_t20,D OW N T  |  HH AE V  |  IH N AH F  |  M AH N IY  | ,Don't have enough money,Don't have enough money.,855.07,87,7
t15.2023.08.20_b7_t21,B AH T  |  AY  |  HH AE V AH N T  |  T OW L D  |  M AY  |  HH AH Z B AH N D  | ,But I haven't told my husband,But I haven't told my husband.,851.12,100,9
t15.2023.08.20_b7_t22,AY  |  HH AE V  |  S AH M  |  N EY B ER Z  |  AH G R AO S  |  DH AH  |  F IY L D  | ,I have some neighbors across the field,I have some neighbors across the field.,1046.05,104,10
t15.2023.08.20_b7_t24,HH AE V  |  S AH M  |  P AA R T  |  AH V  |  DH AH  |  L AO  | ,Have some part of the law,Have some part of the law.,927.08,93,9
t15.2023.08.20_b8_t0,W AH T S  |  DH AH  |  CH IH L D R AH N  |  W AO R  |  G R UW N  | ,What's the children were grown,Once the children were grown.,951.9,94,8
t15.2023.08.20_b8_t1,S P EH SH AH L  |  T UW  |  DH AH  |  D IH T R OY T  |  F R IY  |  B R EH S  | ,Special to the Detroit Free Press,Special to the Detroit Free Press.,1052.6,102,9
t15.2023.08.20_b8_t2,AY M  |  D UW IH NG  |  AO L  |  R AY T  | ,I'm doing all right.,I'm doing all right.,981.71,82,8
t15.2023.08.20_b8_t3,AY  |  G EH S  |  IH T S  |  K L OW S  |  IH N AH F  | ,I guess it's close enough.,I guess it's close enough.,1205.63,89,9
t15.2023.08.20_b8_t4,AH  |  G UH D  |  AH P EH R AH N S  |  T UW  |  D UW  |  AH  |  G UH D  |  JH AA B  |  DH EH R  |  Y UW  |  W ER K  | ,A good appearance to do a good job there you work,A good appearance to do a good job where you work.,1126.62,123,14
t15.2023.08.20_b8_t5,P IY P AH L  |  D UW N AH N T  |  M AO R  |  M AH N IY  | ,People do not want more money,People donate more money.,822.94,91,9
t15.2023.08.20_b8_t6,P IY P AH L  |  P UH T  |  DH EH M  |  IH N  | ,People put them in,People put them in.,1923.85,85,7
t15.2023.08.20_b8_t7,EH V ER IY  |  T AY M  |  AY  |  D UW  |  S AH M TH IH NG  | ,Every time I do something,Every time I do something.,731.75,91,8
t15.2023.08.20_b8_t8,IH Z  |  DH EH R  |  AH  |  B EY S AH S  |  F AO R  |  IH T  | ,Is there a basis for it,Is there a basis for it?,946.89,93,9
t15.2023.08.20_b8_t9,AY  |  TH IH NG K  |  B IH K AO Z  |  IH T  |  K AA Z  |  L EH T S  | ,I think because it cause lets,I think because it costs less.,813.35,96,9
t15.2023.08.20_b8_t10,IH T S  |  AH  |  W EH N AH S  |  AH N D  |  AO L  | ,It's a witness and all,It's a weakness and all.,890.78,88,8
t15.2023.08.20_b8_t11,IH T S  |  AH  |  EH D IY  |  EY T  | ,It’s a Eddie eight,It's a eighty eight.,776.03,81,8
t15.2023.08.20_b8_t12,TH IH NG Z  |  AA R  |  F R IY  |  IH N AH F  | ,Things are free enough,Things are free enough.,926.17,85,7
t15.2023.08.20_b8_t13,AE T  |  DH AH  |  T AY M  |  Y UW  |  HH AY AH D  |  AA N  |  W IH DH  |  DH IH S  |  K AH M P AH N IY  | ,At the time you hired on with this company,At the time you hired on with this company.,956.89,115,12
t15.2023.08.20_b8_t14,F AO R  |  DH AH  |  TH IH NG Z  |  DH AE T  |  W IY  |  W AA N T  | ,For the things that we want,For the things that we want.,718.18,96,9
t15.2023.08.20_b8_t15,T R IH M IH NG  |  S IY Z AH N  |  IH Z  |  AA P AH N IY  |  B OY Z  | ,Trimming season is upon the boys,Streaming season is opening boys!,955.32,98,10
t15.2023.08.20_b8_t16,IH T S  |  AO L R EH D IY  |  D AH N  |  F AO R  |  Y UW  | ,It's already done for you,It's already done for you.,835.58,92,8
t15.2023.08.20_b8_t18,HH IY  |  HH AE D  |  B IH N  |  IH N  |  DH AE T  |  P AH L IH SH AH N  |  F AO R  |  Y IH R Z  | ,He had been in that position for years.,He had been in that position for years.,986.99,111,12
t15.2023.08.20_b8_t19,AW T S AY D  |  DH AH  |  B IH L D IH NG  |  IH T S  |  N AA T  |  B AE D  | ,Outside the building it's not bad,Outside the building it's not bad.,959.14,99,9
t15.2023.08.20_b8_t20,DH AH  |  F IH F T ER M Z  |  F AE M AH L IY Z S  |  AE N  |  TH IH NG Z  | ,The fifth term's families and things,The victims' families and things.,940.47,98,10
t15.2023.08.20_b8_t21,AY  |  D OW N T  |  W AA N T  |  T UW  |  D UW  |  EH N IY TH IH NG  | ,I don't want to do anything,I don't want to do anything.,751.5,97,9
t15.2023.08.20_b8_t22,Y UW  |  N OW  |  AY  |  D OW N T  |  N OW  | ,You know I don't know,You know I don't know.,747.05,85,8
t15.2023.08.20_b8_t23,IH T S  |  D IH F AH K AH L T  |  T UW  |  R IH L IY  |  S EY  |  W AY  | ,It's difficult to really say why,It's difficult to really say why.,1106.89,99,9
t15.2023.08.20_b8_t24,DH EH R  |  W AA Z  |  AH  |  V OY S  |  IH N  |  HH ER  |  HH AE D  | ,There was a voice in her head.,There was a voice in her head.,819.93,98,11
t15.2023.08.25_b1_t0,L AO M IH K ER Z  |  B AE K S T  |  AH  |  M EH ZH ER  |  L AE S T  |  Y IH R  | ,Lawmakers backed a measure last year,Lawmakers passed a measure last year.,905.94,102,10
t15.2023.08.25_b1_t1,AY D  |  B IY  |  Y UH R IY AH Z S  | ,I’d be your ears,I'd be curious.,1545.47,81,8
t15.2023.08.25_b1_t2,IH T S  |  L AY K  |  AH  |  M EY JH ER  |  P R AH D EH K SH AH,It’s like a major prediction,It's like a major production.,922.31,91,9
t15.2023.08.25_b1_t3,W IY  |  EH N D AH N D  |  AH P  |  W AA CH IH NG  |  IH T  |  F AO R  |  AH  |  K AH P AH L  |  AH V  |  AW ER,We ended up watching it for a couple of hours,We ended up watching it for a couple of hours.,806.6,117,13
t15.2023.08.25_b1_t4,Y UW  |  L AY V  |  IH N  |  K AA L,You live in call,You live in Garland.,865.62,78,7
t15.2023.08.25_b1_t5,EH N IY TH IH NG  |  AA N  |  DH AE T,Anything on that,Anything on that.,859.87,77,6
t15.2023.08.25_b1_t6,HH IY Z  |  N EH V ER  |  G AO N  |  AH W EY  | ,He's never gone away,He's never gone away.,859.79,85,7
t15.2023.08.25_b1_t7,W AH T  |  W IH L  |  B IY  |  AH  |  L AH G ZH ER IY  |  IH N  |  DH AH  |  F IH CH ER,What will be a luxury in the future,What will be a luxury in the future?,1044.61,106,11
t15.2023.08.25_b1_t8,F IH SH AH N  |  B OW K S  |  DH AE T  |  AY  |  R IH L IY  |  L AY K  | ,Fiction books that I really like,Fiction books that I really like.,1030.25,98,10
t15.2023.08.25_b1_t9,AY  |  W AA Z  |  R IH L IY  |  W ER K IH NG  |  W IH DH  |  DH AH  |  M IH D AH L  |  K L,I was really working with the middle cl,I was really working with the middle class.,1094.02,106,11
t15.2023.08.25_b1_t10,Y UW  |  HH AE V  |  T UW  |  G EH T  |  EH V R IY TH IH NG  |  R IH P L EY Z D  | ,You have to get everything replaced.,You have to get everything replaced.,890.18,102,10
t15.2023.08.25_b1_t11,DH EH R  |  W UH D  |  B IY  |  N OW  |  W IY  |  T UW  |  D UW  |  IH T  | ,There would be no way to do it,There would be no way to do it.,1064.52,103,11
t15.2023.08.25_b1_t12,W AH T  |  IH Z  |  IH T  |  K AO L D  | ,What is it called,What is it called?,833.73,82,7
t15.2023.08.25_b1_t13,DH EY  |  D UW  |  T EY K  |  AH P  |  AH  |  L AA T  |  AH V  |  Y AO R  |  T AY M  | ,They do take up a lot of your time,They do take up a lot of your time.,1418.19,107,12
t15.2023.08.25_b1_t14,AY M  |  S T IH L  |  G OW IH NG  | ,I'm still going,I'm still going.,803.0,78,6
t15.2023.08.25_b1_t15,W AH T  |  W UH N  |  Y UW  |  F AY N D  |  IH F  |  Y UW  |  JH AH S T  |  K EH P T  |  AA N  |  G OW IH NG  | ,What would you find if you just kept on going,What would you find if you just kept on going?,1163.84,120,13
