idx,n_candidates,prediction,ground_truth,time_ms,tokens_in,tokens_out
239,5,A restaurant that employs minority.,A restaurant that employs minorities.,723.28,363,6
240,5,It's just one story.,It's just one story.,699.1,326,5
241,5,There was one point I was going to make.,There was one point I was going to make.,790.73,448,10
242,5,I have full energy when I am in social situations.,I have more energy when I exercise.,804.56,437,11
243,5,Probably seventy.,Probably seventies.,892.62,279,3
244,5,The court is yet to make its decision public.,The court is yet to make its decision public.,818.86,475,10
245,5,He's not that old.,He's not that old.,737.62,297,5
246,5,He's an indoor cat.,He's an indoor cat.,695.72,305,5
247,5,It's a number.,It's a nightmare.,717.48,265,4
248,5,That kind of threw them off.,That kind of threw them off.,1737.98,353,7
249,5,I'm mostly the easy cooker.,I'm mostly the easy cooker.,819.82,354,6
250,5,It's not anything like Kansas.,It's not anything like Kansas.,797.56,357,6
251,5,We're within walking distance.,We're within walking distance.,839.51,335,5
252,5,I don't care for that at all.,I don't care for that at all.,717.41,368,8
253,5,That's a private dinneration.,That's a previous generation.,1433.65,329,6
254,5,I get great satisfaction eating it.,I get great distance hitting it.,730.05,366,7
255,5,The kids like to go.,The kids like to go out.,608.57,334,6
256,5,I can eat right after high school.,I got it right after high school.,725.49,375,8
257,5,Regime change in Iran.,Regime change in Iran.,1132.25,315,6
258,5,As far as that goes.,As far as that goes.,716.34,315,6
259,5,Not in terms of north and south.,Not in terms of north and south.,838.05,387,8
260,5,A few minutes ago.,A few minutes ago.,777.72,310,5
261,5,He was a curry.,He was a courier.,724.63,296,5
262,5,We didn't do it that very much.,We didn't do it very much.,704.78,397,8
263,5,It's not at all anything worth talking about.,It's not at all anything worth talking about.,819.9,441,9
264,5,They can pretty much get everybody there.,They can pretty much get everybody there.,712.77,431,8
265,5,Have their place robbed and everything.,Have their bellies rubbed and everything.,687.46,400,7
266,5,Go over there.,Go over there.,813.91,267,4
267,5,Was this his entire family?,Was this his entire family?,751.46,360,6
268,5,Is she going to stay home?,Is she going to stay home?,808.76,356,7
269,5,I look at homemaking as a job also.,I look at homemaking as a job also.,842.34,408,10
270,5,My family's not very big.,My family's not very big.,702.29,355,6
271,5,They are napping at times.,They are tempting at times.,710.67,331,7
272,5,You'll have one or two that are good.,You'll have one or two that are good.,827.47,401,9
273,5,But a trap in your moving.,Put a cramp in your viewing.,816.2,348,7
274,5,The vines are really taking over.,The vines are really taking over.,817.55,366,7
275,5,"Governor, the people of Detroit don't forget.","Governor, the people of Detroit don't forget.",959.1,441,9
276,5,Seven or something like that.,Seven or something like that.,671.29,347,6
277,5,Join the gang.,Join the gang.,828.8,265,4
278,5,I have a standard.,I have a standard.,717.7,294,5
279,5,I don't want any interruptions.,I don't want any interruptions.,744.83,359,6
280,5,I love all the winners that they have out now too.,I love all the windows that they have out now too.,890.53,484,12
281,5,You know I don't.,You know I don't.,714.86,284,5
282,5,It'll go through the lot.,It'll go through the slot.,714.68,320,7
283,5,A fine profession.,A fine profession.,660.87,280,4
284,5,All the money.,All the money.,652.79,274,4
285,5,The thing that should be.,The thing that should be.,732.59,320,6
286,5,If you are convinced that it is the right choice.,If you are convinced that it is the right choice.,884.84,474,11
287,5,Because that's perfectly clean.,Because that's perfectly clean.,804.36,348,5
288,5,Make him feel like he wasn't wanted.,Make him feel like he wasn't wanted.,769.24,423,8
289,5,We decided to stay.,We decided to stay.,716.82,312,5
290,5,They're just so substantial.,They're just so suspenseful.,736.42,335,5
291,5,I don't like administration.,I don't like administration.,1210.35,336,5
292,5,Did you have to do that?,Did you have to do that?,816.59,342,7
293,5,I really enjoy that team.,I really enjoy that team.,785.36,351,6
294,5,I can't think of his name now.,I can't think of his name now.,887.22,373,8
295,5,"In fact, the first year we were married.",In fact the first year we were married.,886.07,430,10
296,5,I've got a two year old.,I've got a two year old.,705.33,335,7
297,5,That's what the different types are.,That's what the different types are.,831.07,375,7
298,5,When I came back here.,When I came back here.,795.38,325,6
299,5,Because she makes clothes.,Because she makes clothes.,738.0,321,5
300,5,I don't bother them or anything.,I don't water them or anything.,819.5,371,7
301,5,I did well in school.,I did well in school.,716.86,321,6
302,5,A producer of movies in Baltimore called.,A producer of movies in Baltimore called.,715.23,428,8
303,5,Just all different colors.,Just all different colors.,755.0,329,5
304,5,Barbecues and Mexican food.,Barbecues and Mexican food.,833.89,339,7
305,5,Can calculate illusions on that.,Congratulations on that.,764.3,317,6
306,5,Especially not in some of these big cities.,Especially not in some of these big cities.,760.81,456,9
307,5,Snuggle up to you.,Snuggle up to you.,733.84,298,6
308,5,I don't know if you've heard of her.,I don't know if you've heard of her.,787.28,399,9
309,5,But bringing the party together will be easier said than done.,But bringing the party together will be easier said than done.,873.07,565,12
310,5,I have seen so many who know that God has not given us a spirit of fear.,I have seen so many who know that God has not given us a spirit of fear.,958.14,691,18
311,5,I try to improvise it.,I try to embrace it.,809.81,323,7
312,5,We all know that unfortunately schools are not always the safest places.,"We all know that, unfortunately, schools are not always the safest places.",792.86,611,13
313,5,Thank you for signing up.,Thank you for signing up.,835.33,329,6
314,5,This is the price paid for counting hens rather than chicken eggs.,This is the price paid for counting eggs rather than chicken embryos.,920.53,578,13
315,5,Classy grew up on a family farm where he still works.,"Grassley grew up on a family farm, where he still works.",922.5,542,13
316,5,We decided to ask them.,We decided to ask them.,818.22,339,6
317,5,And everyone involved in the case bore the jury and been here before.,"And everyone involved in the case, bar the jury, had been here before.",879.41,619,14
318,5,A truck is positioned below the tanks.,A dog is featured below the text.,805.62,391,8
319,5,"Also, so you need to put away the milk and cereal.","Oh, so you need to put away the milk and cereal?",910.62,516,13
320,5,"Everything Trump wants to do, there comes everything Trudeau wants to do too.",Everything Trump wants to do threatens everything Trudeau wants to do.,885.3,577,15
321,5,Peter was in bed when I walked into the bedroom.,Peter was in bed when I walked into the bedroom.,788.67,493,11
322,5,How does she live with herself?,How does she live with herself?,890.67,367,7
323,5,I'm not even disputing the results of the poll.,I'm not even disputing the results of the board.,1241.32,487,11
324,5,And Irkan say and not turned north that.,And Hurricane Jose had not turned north yet.,814.25,444,10
325,5,The two have since taken some steps towards a rapprochement.,The two have since taken some steps toward a rapprochement.,795.28,525,12
326,5,But there have often been times when talking has been a problematic issue.,But there have often been times when Turkey has been a problematic ally.,922.78,612,14
327,5,Check out the new sales ads.,Check out the new Sales items!,892.5,362,7
328,5,I just two start there and sort it all up.,I just stood there and soaked it all up.,815.62,462,11
329,5,That's a good way to get started.,That's a good way to get started.,716.72,395,8
330,5,I was on trenches.,I was on crutches.,756.83,301,5
331,5,When you stop to think of it.,When you stop to think of it.,781.78,369,8
332,5,It can be used to hassle somebody.,It could be used to hassle somebody.,819.52,419,8
333,5,America is losing it.,America is losing it.,731.52,314,5
334,5,I don't know whether you did yours first.,I don't know whether you did yours first.,900.93,412,9
335,5,The sticking cloud grows under the carpet.,The sticky slide rugs under the carpet.,732.03,422,8
336,5,I think the majority are in that.,I think the majority are in that.,830.11,396,8
337,5,The people I know are from there.,The people I know are from there.,733.18,384,8
338,5,I haven't seen too many lately.,I haven't seen too many lately.,815.74,389,7
339,5,I've only seen him in funny stuff.,I've only seen him in funny stuff.,728.92,408,8
340,5,For a different section.,For a different section.,668.09,323,5
341,5,Their mother was sick at times.,Their mother was sick at times.,744.65,365,7
342,5,Welton and had no regrets about her decision.,Wilkinson had no regrets about her decision.,832.28,451,10
343,5,My three year old.,My three year old.,686.71,296,5
344,5,I really just started.,I really just started.,670.36,330,5
345,5,If you're on a trip or something.,If you're on a trip or something.,2247.02,383,8
346,5,She handles it pretty well.,She handles it pretty well.,678.82,351,6
347,5,We ran into some problems.,We ran into some problems.,746.34,347,6
348,5,I just got the new issue.,I just got the new issue.,1068.79,346,7
349,5,You'll still see people.,You'll still see people.,715.02,319,5
350,5,To separate the news from the comment.,To separate the news from the comment.,1188.11,406,8
351,5,Like the old oak whizzes.,Like the old Hank Williams.,688.49,323,7
352,5,I would work in the summer.,I would work in the summer.,785.11,344,7
353,5,Taylor introduced this to confirmation bias.,Taylor attributed this to confirmation bias.,716.23,442,7
354,5,"We apologize, but this video was found too late.","We apologize, but this video has failed to load.",1390.83,487,11
355,5,"Go talk to her in the lobby, I'll be right down.","Go talk to her in the lobby, I'll be right down!",1168.23,491,13
356,5,This project has been a real team effort.,This project has been a real team effort.,1022.43,439,9
357,5,This is 18 Powers Revised.,This is headache powders revisited.,791.71,369,7
358,5,Understanding the global classroom.,Understanding the mobile landscape.,846.34,353,5
359,5,Trump has nominated William Barr as the next Attorney General.,Trump has nominated William Barr as the next attorney general.,920.24,555,11
360,5,"Basically, things of similar temperament should be made for such incidents.",Pasquale thinks a similar argument should be made for search engines.,1025.29,594,13
361,5,The Hercules and Rebel Steak medals are handed here.,The Hercules and rainbow stag beetles are highlights here.,1020.34,518,10
362,5,A visual comparison of various distances.,A Visual Comparison of Various Distances,756.54,462,7
363,5,I could hear my accelerated breathing.,I could hear my accelerated breathing.,978.35,404,7
364,5,Which Amica gives impressed you it terms of complexity or technical tricks?,Which Amiga games impressed you in terms of gameplay or technical tricks?,784.13,600,14
365,5,Also at that game we were starting to hate each other a little bit.,"Also, at that time we were starting to hate each other a little bit.",914.81,601,15
366,5,Are either or both dogs considered dangerous under Davis County ordinances?,Are either or both dogs considered dangerous under Davis County ordinance?,925.78,588,13
367,5,Carted and difficulty calculations.,Target and Difficulty Calculations,861.36,389,6
368,5,What is the big deal anyway?,"What is beef jerky, anyway?",816.24,364,7
369,5,"But even at its most challenging, the concept is simple.","But even at its most scientific, the concept is simple.",790.7,534,12
370,5,Are they the same there?,Are they the same there?,1654.59,315,6
371,5,Is it a government or a real concern of importance?,Is it a novelty or a real coin of importance?,1344.04,500,11
372,5,Water into this bowl.,Water into this bowl.,5001.27,313,5
373,5,We just left it alone.,We just left it alone.,837.01,342,6
374,5,Trying to find someone at home.,Trying to find someone at home.,759.69,382,7
375,5,Sort of like an exchange program.,Sort of like an exchange program.,773.37,391,7
376,5,I don't know how we could make it more fair.,I don't know how we could make it more fair.,955.77,455,11
377,5,Better than Europe.,Better than Europe.,1088.21,279,4
378,5,To go out fishing in a boat.,To go out fishing in a boat.,1545.04,367,8
379,5,About four hundred showed up.,About four hundred showed up.,3399.06,344,6
380,5,We came from living in a condo for nine years.,We came from living in a condo for nine years.,1201.24,499,11
381,5,I never quite found a New York fan.,I never quite found a New York fan.,1469.26,412,9
382,5,Before you realize anything is going on.,Before you realize anything is going on.,4367.28,422,8
383,5,When I'm up here.,When I'm up here.,694.89,292,5
384,5,I never go to the fiction section.,I never go to the fiction section.,1557.35,396,8
385,5,"Our sleeping bags, I guess.",Our sleeping bags I guess.,6416.22,327,7
386,5,She things like that.,See things like that.,752.1,301,5
387,5,I don't get that.,I don't get that.,1646.04,295,5
388,5,We're going to have to do something.,We're going to have to do something.,1266.84,396,8
389,5,I wasn't really.,I wasn't really.,837.88,285,4
390,5,We think it's good.,We think it's good.,672.11,302,5
391,5,It is in agreement with its provisions.,It is in agreement with its provisions.,9301.33,433,8
392,5,I can really tell the difference.,I can really tell the difference.,717.82,375,7
393,5,The last book I read.,The last book I read.,1073.32,320,6
394,5,Almost like a darling.,Almost like a tingling.,863.09,308,5
395,5,I think that could work as a toy.,I think that could work as a toy.,817.23,401,9
396,5,I noticed those texts.,I noticed those dogs.,6211.15,305,5
397,5,Those games are fun to watch.,Those games are fun to watch.,1674.59,354,7
398,5,Things of that nature which made us feel good.,Things of that nature which made us feel good.,808.02,451,10
399,5,What kind of dog do you have?,What kind of dog do you have.,830.2,379,8
400,5,They are going to get a gun no matter what.,They are going to get a gun no matter what.,804.8,452,11
401,5,A little bit of autocracy of themselves.,A little brief autobiography of themselves.,956.63,435,9
402,5,The news was first reported by Dighton Alumnate.,The news was first reported by Deadline Hollywood.,1657.37,467,12
403,5,Students do not like this response.,Students do not like this response.,772.85,387,7
